payment_id,policy_id,payment_date,amount,payment_method
1,1,2026-01-03,15044.03,Especes
2,2,2025-11-26,32765.24,Cheque
3,2,2026-02-24,32765.24,Especes
4,3,2022-02-08,24704.46,Virement
5,4,2022-08-16,2854.87,Carte
6,4,2022-09-15,2854.87,Carte
7,4,2022-10-15,2854.87,Carte
8,4,2022-11-15,2854.87,Cheque
9,4,2022-12-15,2854.87,Cheque
10,4,2023-01-15,2854.87,Especes
11,4,2023-02-14,2854.87,Cheque
12,4,2023-03-16,2854.87,Virement
13,4,2023-04-16,2854.87,Virement
14,4,2023-05-16,2854.87,Especes
15,4,2023-06-16,2854.87,Virement
16,4,2023-07-16,2854.87,Virement
17,5,2022-05-09,35100.63,Cheque
18,5,2022-08-07,35100.63,Virement
19,6,2026-01-11,15864.34,Cheque
20,7,2023-01-19,30046.44,Virement
21,7,2024-01-19,30046.44,Virement
22,8,2024-03-10,16959.05,Virement
23,9,2024-01-02,15258.06,Especes
24,9,2024-04-01,15258.06,Cheque
25,10,2022-10-01,1860.87,Carte
26,10,2022-10-16,1860.87,Virement
27,10,2022-10-31,1860.87,Carte
28,10,2022-11-15,1860.87,Especes
29,10,2022-11-30,1860.87,Carte
30,10,2022-12-15,1860.87,Cheque
31,10,2022-12-30,1860.87,Carte
32,10,2023-01-14,1860.87,Especes
33,10,2023-01-29,1860.87,Carte
34,10,2023-02-13,1860.87,Especes
35,10,2023-02-28,1860.87,Carte
36,10,2023-03-15,1860.87,Virement
37,11,2025-11-25,4825.35,Cheque
38,11,2025-12-25,4825.35,Carte
39,11,2026-01-24,4825.35,Carte
40,11,2026-02-24,4825.35,Carte
41,11,2026-03-26,4825.35,Especes
42,11,2026-04-26,4825.35,Carte
43,11,2026-05-26,4825.35,Carte
44,11,2026-06-25,4825.35,Carte
45,11,2026-07-26,4825.35,Virement
46,11,2026-08-25,4825.35,Carte
47,12,2022-03-17,2674.62,Especes
48,12,2022-04-16,2674.62,Cheque
49,12,2022-05-16,2674.62,Cheque
50,12,2022-06-16,2674.62,Especes
51,12,2022-07-16,2674.62,Cheque
52,12,2022-08-16,2674.62,Especes
53,12,2022-09-15,2674.62,Especes
54,12,2022-10-15,2674.62,Especes
55,12,2022-11-15,2674.62,Especes
56,12,2022-12-15,2674.62,Virement
57,12,2023-01-15,2674.62,Especes
58,12,2023-02-14,2674.62,Cheque
59,13,2023-09-28,1994.82,Carte
60,13,2023-11-27,1994.82,Especes
61,13,2024-01-27,1994.82,Especes
62,13,2024-03-28,1994.82,Carte
63,13,2024-05-28,1994.82,Carte
64,13,2024-07-28,1994.82,Cheque
65,13,2024-09-27,1994.82,Cheque
66,13,2024-11-26,1994.82,Virement
67,13,2025-01-26,1994.82,Carte
68,13,2025-03-28,1994.82,Carte
69,13,2025-05-28,1994.82,Especes
70,13,2025-07-28,1994.82,Virement
71,14,2026-03-23,5899.91,Cheque
72,15,2023-07-14,3164.75,Cheque
73,15,2023-07-29,3164.75,Virement
74,15,2023-08-13,3164.75,Carte
75,15,2023-08-28,3164.75,Especes
76,15,2023-09-12,3164.75,Carte
77,15,2023-09-27,3164.75,Especes
78,15,2023-10-12,3164.75,Carte
79,15,2023-10-27,3164.75,Especes
80,15,2023-11-11,3164.75,Cheque
81,15,2023-11-26,3164.75,Virement
82,15,2023-12-11,3164.75,Cheque
83,15,2023-12-26,3164.75,Cheque
84,16,2024-03-02,78423.42,Especes
85,17,2026-06-29,2953.99,Cheque
86,17,2026-07-14,2953.99,Carte
87,17,2026-07-29,2953.99,Cheque
88,17,2026-08-13,2953.99,Especes
89,17,2026-08-28,2953.99,Virement
90,18,2023-10-20,6401.2,Carte
91,18,2024-01-18,6401.2,Virement
92,19,2022-12-08,3886.21,Carte
93,19,2023-02-06,3886.21,Especes
94,19,2023-04-08,3886.21,Cheque
95,19,2023-06-08,3886.21,Virement
96,19,2023-08-08,3886.21,Cheque
97,19,2023-10-08,3886.21,Carte
98,19,2023-12-08,3886.21,Cheque
99,19,2024-02-06,3886.21,Virement
100,19,2024-04-07,3886.21,Virement
101,19,2024-06-07,3886.21,Virement
102,19,2024-08-07,3886.21,Virement
103,19,2024-10-07,3886.21,Carte
104,20,2023-07-17,78801.64,Cheque
105,21,2024-01-15,68065.76,Virement
106,22,2025-05-29,7273.85,Cheque
107,22,2025-11-27,7273.85,Especes
108,22,2026-05-29,7273.85,Virement
109,23,2024-01-12,10807.84,Cheque
110,23,2024-04-12,10807.84,Carte
111,23,2024-07-12,10807.84,Virement
112,23,2024-10-11,10807.84,Cheque
113,24,2024-01-30,46636.36,Especes
114,25,2024-03-26,16367.32,Carte
115,25,2024-09-24,16367.32,Especes
116,26,2024-10-19,1537.39,Cheque
117,26,2024-12-18,1537.39,Cheque
118,26,2025-02-17,1537.39,Virement
119,26,2025-04-19,1537.39,Virement
120,26,2025-06-19,1537.39,Especes
121,26,2025-08-19,1537.39,Carte
122,26,2025-10-19,1537.39,Especes
123,26,2025-12-18,1537.39,Carte
124,26,2026-02-17,1537.39,Carte
125,26,2026-04-19,1537.39,Carte
126,26,2026-06-19,1537.39,Especes
127,26,2026-08-19,1537.39,Virement
128,27,2025-12-12,17509.96,Especes
129,28,2022-09-09,15513.16,Especes
130,28,2022-12-08,15513.16,Cheque
131,29,2022-06-29,78053.67,Especes
132,30,2025-01-31,28066.3,Virement
133,31,2026-06-14,1811.37,Cheque
134,31,2026-07-14,1811.37,Especes
135,31,2026-08-13,1811.37,Especes
136,32,2026-06-07,4354.84,Virement
137,33,2025-06-07,9775.2,Cheque
138,34,2024-12-12,66149.87,Cheque
139,35,2025-08-08,6437.28,Virement
140,35,2025-09-22,6437.28,Especes
141,35,2025-11-06,6437.28,Virement
142,35,2025-12-21,6437.28,Cheque
143,36,2026-04-22,1640.06,Virement
144,36,2026-05-07,1640.06,Especes
145,36,2026-05-22,1640.06,Virement
146,36,2026-06-06,1640.06,Carte
147,36,2026-06-21,1640.06,Especes
148,36,2026-07-06,1640.06,Especes
149,36,2026-07-21,1640.06,Carte
150,36,2026-08-05,1640.06,Especes
151,36,2026-08-20,1640.06,Cheque
152,36,2026-09-04,1640.06,Virement
153,37,2023-09-15,1031.09,Especes
154,37,2023-09-30,1031.09,Cheque
155,37,2023-10-15,1031.09,Carte
156,37,2023-10-30,1031.09,Especes
157,37,2023-11-14,1031.09,Virement
158,37,2023-11-29,1031.09,Virement
159,37,2023-12-14,1031.09,Virement
160,37,2023-12-29,1031.09,Carte
161,37,2024-01-13,1031.09,Virement
162,37,2024-01-28,1031.09,Cheque
163,37,2024-02-12,1031.09,Cheque
164,37,2024-02-27,1031.09,Especes
165,38,2022-06-11,8435.28,Carte
166,38,2022-12-10,8435.28,Cheque
167,39,2025-06-12,3317.5,Cheque
168,39,2025-12-11,3317.5,Cheque
169,39,2026-06-12,3317.5,Especes
170,40,2022-12-17,2071.74,Cheque
171,40,2023-02-15,2071.74,Carte
172,40,2023-04-17,2071.74,Especes
173,40,2023-06-17,2071.74,Especes
174,40,2023-08-17,2071.74,Virement
175,40,2023-10-17,2071.74,Cheque
176,40,2023-12-17,2071.74,Carte
177,40,2024-02-15,2071.74,Virement
178,40,2024-04-16,2071.74,Especes
179,40,2024-06-16,2071.74,Carte
180,40,2024-08-16,2071.74,Especes
181,40,2024-10-16,2071.74,Cheque
182,41,2026-08-18,9327.51,Virement
183,42,2025-08-26,3070.3,Cheque
184,42,2025-09-10,3070.3,Especes
185,42,2025-09-25,3070.3,Virement
186,42,2025-10-10,3070.3,Virement
187,42,2025-10-25,3070.3,Virement
188,42,2025-11-09,3070.3,Virement
189,42,2025-11-24,3070.3,Carte
190,42,2025-12-09,3070.3,Especes
191,42,2025-12-24,3070.3,Carte
192,42,2026-01-08,3070.3,Virement
193,42,2026-01-23,3070.3,Cheque
194,42,2026-02-07,3070.3,Cheque
195,43,2025-07-08,18690.15,Carte
196,43,2026-07-08,18690.15,Carte
197,44,2023-09-02,6094.6,Cheque
198,44,2023-12-02,6094.6,Virement
199,44,2024-03-02,6094.6,Carte
200,44,2024-06-01,6094.6,Carte
201,45,2024-08-09,10102.89,Cheque
202,45,2024-09-23,10102.89,Virement
203,45,2024-11-07,10102.89,Cheque
204,45,2024-12-22,10102.89,Virement
205,46,2026-02-12,44138.09,Carte
206,47,2023-10-16,17995.63,Cheque
207,47,2024-01-14,17995.63,Cheque
208,48,2022-04-14,14385.58,Virement
209,48,2022-07-14,14385.58,Cheque
210,48,2022-10-13,14385.58,Carte
211,48,2023-01-12,14385.58,Cheque
212,49,2026-07-25,2767.61,Especes
213,49,2026-08-24,2767.61,Cheque
214,50,2024-10-17,5151,Carte
215,50,2025-04-17,5151,Carte
216,50,2025-10-17,5151,Carte
217,50,2026-04-17,5151,Carte
218,51,2024-03-16,35575.38,Cheque
219,52,2022-04-14,18635.12,Carte
220,52,2022-10-13,18635.12,Cheque
221,53,2023-08-09,5122.66,Carte
222,53,2024-02-07,5122.66,Virement
223,53,2024-08-08,5122.66,Cheque
224,53,2025-02-06,5122.66,Cheque
225,54,2026-04-14,1900.65,Especes
226,54,2026-05-14,1900.65,Virement
227,54,2026-06-13,1900.65,Carte
228,54,2026-07-14,1900.65,Especes
229,54,2026-08-13,1900.65,Carte
230,55,2024-01-13,7896.12,Cheque
231,55,2025-01-12,7896.12,Carte
232,56,2026-08-18,2817.83,Cheque
233,57,2024-02-04,53469.91,Carte
234,58,2024-10-21,11359.1,Carte
235,58,2025-01-19,11359.1,Virement
236,59,2022-11-02,36793.95,Carte
237,59,2023-11-02,36793.95,Cheque
