policy_id,customer_id,agent_id,product_type,start_date,end_date,premium_amount,status
1,15,11,Auto,2026-01-03,2028-01-03,30088.07,Active
2,20,10,Vie,2025-11-26,2026-05-25,65530.47,Expired
3,316,1,Auto,2022-02-08,2023-02-08,24704.46,Expired
4,482,24,Vie,2022-08-16,2023-08-16,34258.41,Expired
5,123,14,Vie,2022-05-09,2022-11-05,70201.26,Expired
6,275,1,Habitation,2026-01-11,2026-07-10,15864.34,Expired
7,181,8,Vie,2023-01-19,2025-01-18,60092.89,Expired
8,185,3,Auto,2024-03-10,2025-03-10,16959.05,Expired
9,192,9,Auto,2024-01-02,2024-06-30,30516.11,Expired
10,322,4,Sante,2022-10-01,2023-03-30,22330.47,Expired
11,330,6,Vie,2025-11-25,2026-11-25,57904.15,Active
12,33,23,Vie,2022-03-17,2023-03-17,32095.46,Expired
13,454,2,Sante,2023-09-28,2025-09-27,23937.84,Expired
14,243,9,Auto,2026-03-23,2028-03-22,23599.65,Active
15,400,2,Sante,2023-07-14,2024-01-10,37976.98,Expired
16,205,24,Vie,2024-03-02,2025-03-02,78423.42,Expired
17,255,12,Sante,2026-06-29,2026-12-26,35447.85,Active
18,309,6,Sante,2023-10-20,2024-04-17,12802.41,Expired
19,157,15,Vie,2022-12-08,2024-12-07,46634.5,Expired
20,373,12,Vie,2023-07-17,2025-07-16,78801.64,Cancelled
21,39,22,Vie,2024-01-15,2026-01-14,68065.76,Expired
22,488,1,Habitation,2025-05-29,2027-05-29,29095.42,Active
23,35,8,Sante,2024-01-12,2025-01-11,43231.35,Expired
24,79,22,Vie,2024-01-30,2025-01-29,46636.36,Expired
25,71,17,Sante,2024-03-26,2025-03-26,32734.63,Expired
26,59,1,Habitation,2024-10-19,2026-10-19,18448.66,Active
27,135,25,Sante,2025-12-12,2026-12-12,17509.96,Active
28,356,16,Habitation,2022-09-09,2023-03-08,31026.31,Expired
29,461,23,Vie,2022-06-29,2024-06-28,78053.67,Cancelled
30,342,12,Auto,2025-01-31,2027-01-31,28066.3,Active
31,81,23,Habitation,2026-06-14,2027-06-14,21736.41,Active
32,103,5,Habitation,2026-06-07,2027-06-07,8709.67,Active
33,189,15,Habitation,2025-06-07,2025-12-04,9775.2,Expired
34,368,24,Vie,2024-12-12,2025-12-12,66149.87,Expired
35,38,5,Sante,2025-08-08,2026-02-04,25749.11,Expired
36,177,5,Habitation,2026-04-22,2026-10-19,19680.69,Active
37,29,4,Habitation,2023-09-15,2024-03-13,12373.11,Cancelled
38,116,12,Sante,2022-06-11,2023-06-11,16870.57,Cancelled
39,141,5,Sante,2025-06-12,2027-06-12,13269.99,Active
40,304,19,Habitation,2022-12-17,2024-12-16,24860.94,Cancelled
41,173,19,Auto,2026-08-18,2027-02-14,18655.03,Cancelled
42,395,19,Sante,2025-08-26,2026-02-22,36843.57,Expired
43,328,1,Vie,2025-07-08,2027-07-08,37380.3,Cancelled
44,248,8,Vie,2023-09-02,2024-09-01,24378.38,Expired
45,226,14,Vie,2024-08-09,2025-02-05,40411.55,Expired
46,442,23,Sante,2026-02-12,2027-02-12,44138.09,Active
47,190,17,Auto,2023-10-16,2024-04-13,35991.27,Expired
48,127,5,Auto,2022-04-14,2023-04-14,57542.32,Cancelled
49,215,8,Habitation,2026-07-25,2027-07-25,33211.29,Active
50,98,25,Habitation,2024-10-17,2026-10-17,20604.01,Active
51,255,1,Auto,2024-03-16,2026-03-16,35575.38,Expired
52,299,12,Auto,2022-04-14,2023-04-14,37270.24,Cancelled
53,335,22,Vie,2023-08-09,2025-08-08,20490.64,Expired
54,69,9,Sante,2026-04-14,2027-04-14,22807.81,Active
55,292,18,Habitation,2024-01-13,2026-01-12,15792.25,Expired
56,231,25,Sante,2026-08-18,2028-08-17,33813.95,Active
57,500,4,Vie,2024-02-04,2025-02-03,53469.91,Expired
58,74,7,Vie,2024-10-21,2025-04-19,22718.2,Expired
59,171,16,Vie,2022-11-02,2024-11-01,73587.9,Expired
60,477,20,Sante,2022-11-29,2023-11-29,44671.55,Expired
61,154,19,Sante,2024-11-04,2026-11-04,28631.89,Active
62,154,16,Auto,2024-01-25,2025-01-24,45321.29,Cancelled
63,299,10,Auto,2025-05-07,2026-05-07,26948.87,Expired
64,498,25,Habitation,2026-01-17,2026-07-16,23755.13,Expired
65,323,24,Vie,2022-10-30,2024-10-29,34531.79,Expired
66,359,4,Habitation,2022-02-08,2023-02-08,16469.7,Expired
67,354,7,Vie,2024-10-24,2026-10-24,75231.26,Active
68,377,24,Auto,2025-12-16,2026-06-14,38340.74,Expired
69,340,16,Vie,2023-10-05,2024-04-02,47579.81,Expired
70,280,12,Sante,2025-06-03,2026-06-03,16729.25,Expired
71,286,10,Habitation,2023-09-02,2024-09-01,27032.33,Expired
72,251,11,Vie,2023-12-16,2025-12-15,76022.02,Expired
73,141,10,Auto,2025-03-20,2027-03-20,39443.59,Active
74,203,12,Habitation,2023-08-18,2024-02-14,15766.02,Expired
75,178,15,Sante,2026-03-11,2027-03-11,17489.54,Active
76,139,18,Sante,2022-10-09,2023-04-07,31548.7,Expired
77,125,2,Habitation,2025-07-30,2026-01-26,9417.26,Expired
78,368,16,Auto,2025-10-27,2026-04-25,15233.17,Expired
79,476,6,Vie,2025-08-30,2026-08-30,48646.91,Expired
80,494,10,Sante,2023-08-08,2025-08-07,12070.69,Expired
81,334,19,Habitation,2024-12-31,2026-12-31,27524.18,Cancelled
82,468,6,Vie,2022-12-27,2023-06-25,79830.31,Expired
83,254,6,Sante,2022-03-18,2022-09-14,20443.73,Expired
84,476,11,Sante,2024-07-19,2026-07-19,29015.52,Expired
85,481,5,Vie,2023-07-13,2024-01-09,68528.83,Expired
86,375,15,Sante,2026-01-11,2026-07-10,10492.95,Expired
87,152,19,Habitation,2022-12-26,2024-12-25,31115.96,Cancelled
88,424,14,Sante,2022-06-27,2023-06-27,33423.95,Expired
89,72,16,Sante,2023-05-24,2023-11-20,19127.48,Expired
90,386,9,Sante,2023-09-11,2025-09-10,35300.89,Expired
91,335,12,Habitation,2022-05-08,2024-05-07,11192.07,Expired
92,208,22,Sante,2025-11-14,2026-05-13,32354.9,Cancelled
93,189,20,Habitation,2023-03-25,2023-09-21,20910.91,Expired
94,311,12,Vie,2025-12-08,2027-12-08,74767.81,Active
95,411,22,Habitation,2026-04-10,2026-10-07,26369.23,Active
96,404,3,Vie,2024-12-17,2026-12-17,41707.09,Active
97,58,2,Habitation,2025-03-18,2027-03-18,12046.01,Active
98,267,15,Auto,2025-10-25,2026-04-23,47261.31,Expired
99,461,17,Vie,2026-07-15,2027-01-11,47205.94,Active
100,234,19,Auto,2025-02-18,2026-02-18,45274.55,Expired
101,12,13,Sante,2026-07-31,2027-01-27,36103.16,Active
102,24,14,Sante,2025-12-05,2026-06-03,28940.72,Expired
103,458,3,Vie,2022-03-06,2023-03-06,44532.02,Expired
104,393,21,Vie,2024-02-06,2025-02-05,46912.23,Cancelled
105,194,13,Auto,2025-10-30,2027-10-30,54354.92,Active
106,441,12,Auto,2023-01-01,2024-12-31,32687.64,Expired
107,115,1,Auto,2023-09-04,2024-09-03,45307.49,Expired
108,273,13,Habitation,2023-05-22,2024-05-21,17346.31,Expired
109,480,24,Auto,2022-03-07,2024-03-06,33865.83,Expired
110,453,1,Habitation,2023-02-27,2023-08-26,10724.21,Expired
111,307,22,Auto,2023-05-17,2025-05-16,16990.65,Expired
112,277,7,Auto,2022-10-14,2024-10-13,59706.75,Expired
113,470,24,Sante,2025-03-28,2027-03-28,37038.84,Active
114,122,10,Habitation,2025-09-14,2027-09-14,13968.15,Active
115,32,18,Habitation,2025-07-06,2027-07-06,19534.42,Active
116,498,12,Vie,2026-05-29,2028-05-28,39124.07,Active
117,77,10,Vie,2023-01-12,2025-01-11,48411.13,Expired
118,154,23,Habitation,2026-07-09,2027-07-09,32698.01,Active
119,496,14,Habitation,2024-03-06,2024-09-02,14884.88,Expired
120,41,15,Sante,2022-07-09,2024-07-08,35360.46,Expired
121,138,13,Auto,2022-05-30,2022-11-26,51209.28,Expired
122,344,18,Habitation,2024-09-08,2025-03-07,31475.79,Expired
123,490,1,Habitation,2023-01-25,2025-01-24,11167.54,Cancelled
124,246,8,Habitation,2024-03-23,2024-09-19,22906.14,Expired
125,195,15,Sante,2023-09-24,2024-09-23,22587.56,Cancelled
126,239,4,Vie,2026-04-09,2027-04-09,74859.83,Active
127,212,2,Habitation,2026-02-27,2026-08-26,8437.94,Expired
128,300,19,Vie,2023-08-28,2024-02-24,31771.51,Expired
129,292,8,Vie,2025-02-01,2027-02-01,76607.87,Active
130,391,16,Vie,2024-08-01,2025-01-28,63966.33,Expired
131,72,24,Vie,2023-01-12,2025-01-11,79419.41,Cancelled
132,269,2,Auto,2026-08-03,2028-08-02,17183.15,Active
133,71,21,Habitation,2022-05-20,2024-05-19,12077.8,Expired
134,234,12,Auto,2025-06-19,2027-06-19,45003.96,Active
135,248,22,Vie,2022-02-02,2022-08-01,51932.75,Expired
136,9,17,Sante,2025-01-02,2026-01-02,10599.99,Expired
137,346,14,Habitation,2022-08-08,2023-02-04,22158.41,Expired
138,318,17,Sante,2026-07-28,2027-07-28,19356.37,Active
139,192,13,Vie,2025-03-03,2025-08-30,79413.98,Expired
140,351,3,Auto,2022-07-11,2023-07-11,32066.88,Expired
141,29,21,Auto,2025-12-10,2026-06-08,18720.88,Expired
142,331,11,Auto,2024-12-17,2025-06-15,25339.49,Cancelled
143,355,19,Vie,2023-07-10,2024-01-06,75449.56,Expired
144,144,18,Auto,2023-01-03,2024-01-03,15704.61,Expired
145,74,25,Vie,2022-06-07,2023-06-07,29747.02,Expired
146,428,13,Sante,2024-02-26,2026-02-25,14898.27,Cancelled
147,371,3,Sante,2022-04-20,2022-10-17,25298.09,Expired
148,175,20,Vie,2026-05-04,2027-05-04,21777.54,Active
149,231,16,Habitation,2023-12-30,2025-12-29,33410.86,Expired
150,349,19,Vie,2022-06-25,2024-06-24,37722.77,Expired
151,38,3,Sante,2022-11-12,2023-11-12,34908.7,Expired
152,379,13,Sante,2024-01-09,2024-07-07,13203.22,Cancelled
153,228,12,Sante,2022-07-29,2023-01-25,13055.4,Expired
154,286,18,Vie,2022-07-31,2023-01-27,25377.13,Expired
155,306,20,Sante,2024-02-28,2024-08-26,20214.66,Expired
156,44,24,Habitation,2025-03-17,2027-03-17,12578.74,Active
157,72,9,Sante,2023-07-04,2024-07-03,15107.72,Expired
158,142,14,Sante,2024-09-18,2025-03-17,22639.37,Cancelled
159,370,21,Vie,2025-05-01,2027-05-01,31732.89,Active
160,156,1,Vie,2023-11-12,2025-11-11,42793.4,Cancelled
161,226,11,Vie,2026-07-29,2028-07-28,78453.52,Active
162,165,20,Habitation,2024-09-08,2025-09-08,12796.21,Expired
163,164,10,Vie,2025-03-25,2025-09-21,39553.17,Expired
164,403,13,Sante,2022-08-22,2024-08-21,16993,Cancelled
165,93,22,Auto,2026-01-29,2027-01-29,57433.87,Active
166,409,10,Auto,2026-08-05,2027-08-05,45283.99,Active
167,156,8,Sante,2025-09-10,2026-03-09,35033.27,Expired
168,38,15,Vie,2025-04-07,2026-04-07,52062.04,Cancelled
169,446,23,Vie,2025-01-18,2025-07-17,67443.26,Expired
170,459,18,Auto,2022-08-12,2023-02-08,44592.07,Expired
171,332,20,Auto,2025-02-27,2027-02-27,45486.24,Active
172,386,11,Vie,2022-08-05,2023-02-01,25916.39,Expired
173,383,17,Habitation,2024-07-01,2025-07-01,18560.62,Expired
174,302,23,Habitation,2023-12-08,2024-06-05,21034.82,Expired
175,472,3,Auto,2026-08-30,2028-08-29,21375.38,Active
176,234,7,Vie,2023-12-15,2024-12-14,25857.38,Expired
177,232,11,Auto,2023-09-07,2024-03-05,51458.37,Expired
178,435,11,Auto,2025-10-18,2026-04-16,56846.51,Expired
179,265,6,Habitation,2023-11-09,2025-11-08,19511.97,Expired
180,409,13,Habitation,2023-01-17,2025-01-16,25747.31,Expired
181,378,20,Habitation,2024-07-09,2026-07-09,19597.93,Expired
182,110,7,Sante,2026-03-21,2028-03-20,38305.54,Active
183,53,18,Habitation,2024-01-20,2025-01-19,13321.01,Expired
184,344,16,Sante,2025-05-07,2026-05-07,31395.79,Expired
185,179,12,Vie,2025-06-18,2025-12-15,68824.3,Expired
186,153,20,Auto,2025-10-08,2026-04-06,29093.36,Expired
187,60,6,Sante,2025-11-21,2026-05-20,27878.87,Expired
188,71,19,Vie,2024-05-16,2024-11-12,49200.21,Expired
189,471,21,Habitation,2025-02-10,2025-08-09,21220.33,Expired
190,162,15,Auto,2024-01-06,2024-07-04,36807.4,Expired
191,197,18,Vie,2024-04-17,2026-04-17,49503.55,Expired
192,228,16,Habitation,2022-06-19,2024-06-18,8833.24,Expired
193,150,2,Sante,2023-04-06,2025-04-05,20103.46,Expired
194,290,24,Vie,2025-01-30,2027-01-30,26792.66,Active
195,397,18,Sante,2025-01-15,2025-07-14,36600.14,Expired
196,112,14,Auto,2026-02-16,2028-02-16,48810.55,Active
197,17,15,Sante,2023-12-15,2024-06-12,25367.45,Cancelled
198,398,8,Habitation,2026-07-19,2028-07-18,23873.95,Active
199,364,20,Vie,2022-12-06,2024-12-05,28354.1,Expired
200,106,2,Sante,2024-12-26,2025-12-26,30890.02,Expired
201,361,10,Sante,2025-03-18,2026-03-18,43333.91,Expired
202,461,22,Auto,2022-10-05,2023-10-05,56344.59,Cancelled
